21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec
447.37,234.3,87.4,99.98,107.72,94.43,100.74,93.82,63.76,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,48.54,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
341.8,513.89,236.56,216.54,278.32,276.56,317.24,470.12,272.75,309.76,362.62,329.79
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
403.84,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
259.37,131.61,42.35,42.35,42.35,50.32,42.35,42.35,42.35,45.64,56.87,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
104.18,47.5,42.35,42.35,42.35,42.35,42.35,42.35,47.78,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,50.32,74.24,66.05,78.32,103.31,112.3,144.57
134.6,42.35,42.35,42.35,42.35,42.35,42.35,42.35,49.46,96.12,42.35,42.35
91.58,74.45,91,42.35,42.35,42.35,58.18,42.35,54.39,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,81.09,97.67,99.3,127.01,172.71,236.56,86.22
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,56.29,42.35
49.59,42.35,42.35,42.35,42.35,112.84,135.58,136.33,209.33,217.49,183.72,163.87
200,207.9,188.85,177.65,186.04,198.78,176.06,205.74,236.02,250.91,248.29,203.99
152.36,168.33,206.6,256.04,236.56,268.92,513.89,513.89,513.89,513.89,513.89,318.71
42.35,42.35,42.35,48.83,91.83,88.74,79.84,79.42,90.65,115.12,125.1,76.24
42.35,42.35,42.35,66.67,131.72,127.59,145.46,101.32,151.54,217.81,170.14,102.23
188.66,168.28,87.59,57.9,59.81,42.35,42.35,42.35,42.35,42.35,42.35,42.35
77.3,42.35,42.35,42.35,42.35,60.54,66.42,68.27,70.43,72.64,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,54.08,44.82,50.73,75.63,91.5,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
213.86,139.41,180.09,42.35,72.64,89.23,107.55,100.81,87.44,80.39,51.35,42.35
42.35,42.35,42.35,53.61,89.6,104.95,110.5,118.01,139.06,149.92,142.32,161.88
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,131.72,164.46,170.38,180.78,152.33,150,162.18,161.96
42.35,43.84,81.76,42.35,42.35,75.23,92.9,120.37,127.11,154.1,126.86,143.97
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,44.22,42.35,68.74
42.35,42.35,42.35,42.35,42.35,49.14,70.73,90.79,109.75,132.5,95.32,119.89
42.35,42.35,42.35,42.35,42.35,53.08,44.82,58.66,88.1,91.74,137.52,60.61
42.35,42.35,42.35,71.92,88.74,126.89,163.17,120.68,127.24,173.4,177.92,188.14
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
188.14,111.01,53.15,74.36,93.98,102.9,101.95,109.46,102.48,133.65,164.32,119.57
42.35,42.35,42.35,42.35,42.35,42.35,46.82,42.35,76.93,73.99,77.68,42.35
42.35,42.35,42.35,42.35,42.35,42.35,61.37,51.8,46.49,48.97,49.88,42.35
42.35,42.35,42.35,42.35,42.35,69.3,89.89,75.77,42.35,50.85,56.22,82.63
42.35,42.35,42.35,42.35,42.35,42.35,44.77,42.35,52.98,42.35,47.53,42.35
93.09,87,42.35,68.2,77.64,121.37,132.3,134.95,98.35,42.35,42.35,42.35
