jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
115.6,158.65,178.45,219.51,202.38,216.99,266.02,274.81,303.26,229.69,201.95,175.26
39.68,39.68,39.68,39.68,88.98,119.25,101.55,92.38,64.502515,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,55.47,63.52,69.49,39.68,39.68,39.68,39.68
39.68,39.68,39.68,88.98,95.6,122.97,160.04,186.89,218.82,104.09,114.54,133.41
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,60.7,79.11,86.02,75.89,39.68,39.68,39.68
126.17,117.89,39.68,117.17,111.65,106.23,134.79,122.62,78.72,74.14,65.8,141.34
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
60.76,39.68,39.68,39.68,39.68,39.68,39.68,39.68,41.95,39.68,42.37,39.68
126.67,128.34,176.03,203.51,223.54,266.14,229.7,130.68,240.31,220.57,156.46,81.25
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
74.21,103.15,156.46,115.525,123.75,122.85,87.48,79.23,105.16,112.93,107.61,39.68
181.88,209.38,320.67,218.06,438.98,559.75,266.16,267.01,273.18,203.06,243.09,50.3
181.35,420.9,559.75,559.75,559.75,559.75,559.75,295.72,559.75,559.75,281.73,223
329.4,249.35,363.66,182.59,185.72,144.83,236.73,270.45,220.33,272.31,197.68,180.57
97.38,122.78,127.001614,117.2,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
120.36,149.89,44.41,53.4,41.71,63.15,79.3408,51.36,39.68,39.68,39.68,39.68
39.68,127.7,180.83,204.47,172.18,168.145458,145.78755,150.21,119.59,140.964892,96.23,39.68
133.87,47.29,39.68,78.59,39.68,118.21,134.81,106.48,78.43,89.29,39.68,43.74
88.98,76.28,39.68,39.68,39.68,77.96,56.48,39.68,39.68,39.68,39.68,39.68
41.260085,102.88,50.67,99.62,167.89,146.88,133.78,166.76079,149.63,145.33,91.75,104.33
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,73.43,75.37,43.98,46.22,61.19,55.31,39.68,39.68
39.68,39.68,39.68,39.68,57.54,40.28,49.03,39.68,39.68,39.68,39.68,39.68
43.98,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
144.42,154.65,130.34,88.98,144.35,139.66,172.43,155.54,220.32,113.9,130.08,133.11
39.68,77.68,39.68,39.68,39.68,52.4,67.54,63.55,54.81,39.68,39.68,39.68
43.4,55.42,80.8,133.68,140.49,98.91122,90.22196,54.82303,44.47,39.68,39.68,39.68
160.2,204,186.71,115.525,127.45,122.56,123.43,111.58,149.62,125.116864,114.57,88.05
39.68,39.68,39.68,39.68,39.68,49.17,65.8,46.22,50.09,39.895248,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
175.53,152.32,168.82,170.51,182.02,135.53,184.19,144.96,122.33,120.8,116.47,39.68
39.68,39.68,39.68,39.68,39.68,51.57,41.61,39.68,39.68,39.68,39.68,39.68
42.02,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,83.85,39.68,39.68,51.2,39.68,39.68
112.7,197.31,189.19,233.34,279.48,338.74,415.89,484.03,406.77,510.88,264.38,400.63
82.82,39.68,39.68,39.68,39.68,52.24,56.87,63.66,83.98,45.92,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
116.78,101.17,58.61,39.68,73.88,122.59,126.47,139.7,72.425167,55.65,39.68,39.68
39.68,39.68,39.68,39.68,39.68,40.86,56.87,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,75,89.31,104.17,114.72,132.86,114.37,59.87
70.84,67.61,39.68,81.95,39.68,75,102.38,139.05,121.78,186.38,197.79,91.75
114.49,94.41,124.71,70.05,123.66,101.22,154.65,142.4,158.18,222.12,226.74,324.77
97.38,143.13,127.25,63.49,54.27,77.97,92.66,84.04,118.49,146.58,197.6,91.092852
39.68,39.68,39.68,39.68,39.68,39.68,69.74,84.48,109.48,74.82,75.615536,68.02
71.01,128.35,62.71,58.89,134.18,146.33,170.66,143.29,156.497368,122.67,160.24,174.07
165.93,152.92,57.07,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
71,81.04,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,52.4,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
82.597405,117.216236,86.577549,39.68,39.68,65,54.91,46.78,39.93835,55.434588,51.02,58.064304
154.31,151.14,179.49,150.45,96.4,86.14,61.76,39.68,39.68,56.67,39.68,39.68
70.98,88.45,109.62,118.04,130.5,168,138.22,149.34,219.29,276.61,226.23,218.55
150.55,82.1,126.9,57.73,39.68,39.68,53.98,39.68,58.01,43.59,39.68,39.68
39.68,39.68,39.68,39.68,39.68,75,78.28,68,72.512338,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,76.78,67.61,70.24,95.31,44.85,39.68
94.93,69.329512,86.577549,72.86,72.69,68.41,56.42551,70.11,56.204205,52.87,39.68,39.68
39.68,39.68,39.68,39.68,63.22,60.46,76.62,69.82,99.51,82.11,39.68,39.68
39.68,39.68,39.68,39.68,125.4,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,63.71,75,92.03,105.253548,90.76,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,66.19,53.99,49.78,52.964892,39.68,79.63
57.76,67.03,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,53.9,69.59,82.15,73.32,75.88,59.854861,39.68
