jan-20,fev-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,set-20,out-20,nov-20,dez-20
167.16,264.75,236.54,238.94,213.509275,251.61,258.12,293.35,296.49,319.24,513.89,428.62
247.81,133.79,156.06,172.98,214.28,162.61,120.57,127.74,108.21,101.225054,111.42,107.49
77.901316,52.96,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
77.91,147.43,180.474634,172.69,179.45,185.69,118.250892,142.58,122.02,154.22,166.35,165.55
227.49,254.51,272.3,229.2,62.117343,42.35,48.701698,70.85,57.07,66.37,70.15,87.35025
160.85,250.92,209.75,181.59,220.62,237.81,160.09,195.02,165.89,106.72,79.32,109.89
99.06,113.72,59.71,113.6,148.54,142.63,138.05,145.68,138.89,153.75,125.02,186.53
277.92,267.65,245.9,236.33,130.502991,42.35,103.020784,128.08,90.22,93.86,110.91,42.35
192.43,234.19,210.76,240.46,42.35,193.25,282.5,180.23,183.26,131.17,101.78,99.18
256.25,271.54,236.98299,273.99,186.61,191.34,167.152094,173.97,135.29,132.02,84.7,68
192.69,272.76,322.59,296.37,314.83,341.78,262.55,184.94,230.15,211.82,190.75,186.88
159.12,307.06,326.3,473.46,302.81,513.89,349.95,413.56,420.52,256.99,262.03,363.04
123.95,80.57,115.22,113.6,101.88,109.54,43.06,42.35,42.35,62.18,42.35,42.35
276.04,179.1,115.24,113.01,105.5,142.63,128.35,127.21,121.73,142.38,168.06,136.3
358.33,481.41,513.89,281.05,302.86,337.18,410.86,513.89,513.89,513.89,513.89,513.89
308.39,250.37,513.89,216.7,270.97,315.15,349.836252,427.12,513.89,513.89,513.89,513.89
251.92,138.74,203.51,242.22,53.4,256.99,292.37,383.89,276.69,299.9,404.59,339.5
223.67,306.61,322.59,258.53,334.54,384.962584,357.56,379.19,422.77,486.99,424.92,261.78
167.16,197.6194,211.17,229.8,299.22,316.32,357.840962,387.19,413.35,406.44,381.81,263.74
294.94,285.6,313.09,208.67,181.575161,210.62,268.045262,250.19,272.8,333.81,290.58,363.04
181.13,372.47,342.91,264.89,216.45,346.37,382.64,487.64,278.7,310.79,318.68,366.88
282.92,513.89,322.59,242.22,204.46,161.68,292.37,311.01,267.86,513.89,297.06,204.12
257.23,200.79,162.72,228.57,103.090174,49.68,128.30529,146.27,156.56,205.56,169.28,168.84
205.66,264.75,154.07,161.14,212.55,117.65,109.85,128.09,42.35,42.35,42.35,42.35
144.31,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,63.36,72.5,42.35
167.11,42.35,42.35,42.35,42.35,42.35,43.84,65.22396,42.52,55.02,42.35,42.35
352.424064,216.17,192.476328,256.84,229.82,42.35,158.18138,198.54,180.6,194.27,202.39,164.37
327.05,231.95,301.3,256.99,212.7,283.74,344.37,399.34,513.89,513.89,513.89,513.89
145.23,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
189.89,150.11,177.12,174.48,88.98,198.51,233.78,277.18,290.73,327.47,285.19,363.79
248.92,146.17,187.26,153.08,140.37,180.27,187.99,142.19,176.84,164.04,111.12,78.18
145.63,51.84,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
179.39,149.557965,155.725648,168.91,105.5,117.88,97.52,49.43,64.21,63.87,42.35,42.35
262.88,401.77,371.06,295.64,276.28,210.87,249.868636,251.854936,327.19,327.26,341.88,244.18
174.556488,148.89,170.97571,209.245,182.282725,86.12316,149.5,113.69,108.74,102.69,70.86,58.24
175.73,169.6,89.33,80.165,76.37,107.92,94.65,70.93,91.65,42.35,42.35,42.35
200.745094,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
136.762954,60.23,84.8,42.35,51.61,72.03,54.79,64.55,83.24,175.11,160.4,184.56
191.91,129.24,104.04,75.44,78.19,87.72,56.44,64.43,56.17,42.35,42.35,42.35
168.209364,115.91,42.35,42.35,42.35,42.35,42.35,42.39,43.830354,100.59,70.15,89.73
248.85,279.64,342.74,161.38,117.56,144.31,351.32,307.12,513.89,214.362788,186.571778,159.83032
125.45,42.35,42.35,42.35,42.35,61.59,75.76,65.02,83.24,63.32,45.896926,65.413894
189.03,123.68,145.22,134.345,139.01,101.95,127.42,137.51,143.870177,191.170758,147.76,120.88
296.81675,362.79,182.110106,174.41,180.544132,207.54,145.45,134.4,165.04,153.75,147.71,177.11
190.04,200.79,178.67,177.95,169.36,203.12,177.37,177.77,177.97,199.57,197.94,116.73
279.98,304.994599,315.41,214.51,229.82,200.89,182.31,198.57,230.33,326.55,272.65,129.61
144.382444,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
125.45,115.91,115.2,167.6,145.17,141.65,181.54,94.917136,104.4,145.8,85.53,123.97
175.754422,248.395253,188.98,181.48,229.73,167.868236,201.16,238.14,266.245404,293.62,215.2,124.02
112.55,92.82,77.95,121.79,143.62,164.93,209.78,155.85,171.82,181.78,93.07,42.35
169.87,200.74,149.99,133.99,148.54,160.04,119.496182,130.56,104.47,103.49,72.34,42.35
196.38,221.65,291.04,249.89,230.36,232.83,203.2,233.94,164.88,157.52,109.2,92.35
284.73,212.69,134.13,171.41,199.25,232.63,279.25,205.04,123.33,150.79,67.89,42.35
154.86,259.66,245.9,177.78,214.28,211.81076,176.95,191.29,169.08,181.42,155.01,54.66
361.22,513.89,318.02,513.89,480.06,475.51,357.96,422.75,477.88,513.89,513.89,419.56
199.09,272.76,185.98384,188.9,273.98,306.87,251.476748,250.85,217.054185,222.496588,221,207.5
258.35,159.04,210.06,88.98,42.35,167.38,233.77,277.18,274.01,198.74,141.21,116.73
191.91,114.71,141.21,61.79,74.51,46.76,60.137766,42.39,42.35,42.35,70.46,78.5
461.49,513.89,513.89,298.29,333.4,277.156598,273.64,274.17,137.2,219.64,253.63,281.33
179.39,194.25,104.51,107.54,99.65,55.178244,56.44,64.55,42.35,100.59,47.88,56.31
513.89,513.89,513.89,513.89,513.89,513.89,513.89,402.639608,419.110037,513.89,513.89,266.87
189.04,193.29,203.51,42.35,42.35,42.35,81.66,42.35,53.02,64.31,42.35,42.35
228.61,174.78,181.283222,96.94,42.35,88.98,86.69,111.99,104.26,100.59,53.18,79.15
309.06,102.091585,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
160.86,123.01,114.22,100.84,55.386686,42.35,42.35,66.47,79.15,79.65,42.35,42.35
42.35,114.84,66.39,42.35,44.94,42.35,42.35,42.35,42.35,42.35,42.35,42.35
173.14,307.86,440.51,233.04,158.19,93.21,121.11,111.04,137.51,130.1,110.05,167.38
77.91,81.11,68.14,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
350.72,324.29,338.51,280.52,271.43,312.95,312.68,263.12,277.97,254.46,369.88,298.45
257.913948,272.79,256.99,274.51,139.41,256.99,284.12,239.01,250.46,266.86,269.65,205.42
176.88,202.53,77.4,98.39,74.51,72.03,94.65,72.94,42.35,42.35,42.35,42.35
310.28,250.37,256.6,197.35,165.34,160.72,109.85,149.12,153.03,86.11,71.02,42.35
232.59,159.04,191.94,239.71,115.3,210.75,222.08,191.79,238.71,408.46,318.39,165.49
319.11,473.52,336.96,174.48,169.25,195.75,217.52,184.94,186.24,130.62,137.51,42.35
510.12,513.89,256.99,158.14,222.344812,217.59,167.19,227,269.02,235.8,237.98,207.5
56.08111,82.4,100.6,107.54,50.13,42.35,42.35,42.35,42.35,45.420476,57.58,42.35
273.51,189.36,147.07178,146.785,147.61,218.47,148.49,134.44,161.51,146.75,166.2,139.91
137.34,212.35,106.14,83.21,105.5,120.23,76.45,72.94,56.16,63.38,48.725782,42.35
262.88,513.89,101.873124,127.79,128.56,118.89,122.23,99.31,103.08,98.78,92.05,74.25
352.424064,197.6194,42.35,65.42,42.35,42.35,42.35,42.61,42.35,42.35,42.35,42.35
326.92,130.56,100.95,97.72,105.5,103.58,112.13,85.33,83.24,63.38,42.748602,42.35
154.86,147.98,203.94,232.86,213.255143,189.75,210.99,252.11,245.42,292.24,211.45,114.04
316.92,206.12,100.96,153.08,170.81,42.35,48.246818,49.224824,42.35,62.72,47.88,42.35
268.22,187.02,245.79,236.32,213.586037,267.91,268.5,261.68,290.7,417.11,247.23,190.89
246.19,250.92,465.99,249.96,273.98,76.88,139.420496,155.85,136.34,162.18,152.29,129.83
174.556488,262.53,299.49,227.64,159.62,303.552326,272.13,302.11,324.22,307.29,200.42,256.99
123.77,157.38,220.47,182.1,243.370921,128.53225,97.8,85.33,102.69,175.16,151.85,201.4
42.35,51.952362,102.72,128.685,123.6271,127.86,120.57,128.08,112.98,157.44,109.59,171.34
140.64,163.8,179.05,141.15,145.17,185.69,175.09,192.04,195.03,263.32,211.76,268.69
99.06,107.3,104.51,83.195,48.61,58.84,69.167186,70.85,42.35,42.35,42.35,42.35
135.41,48.98,116.16,83.51,42.35,136.35,131.14,87.99,64.21,50.4,42.35,42.35
166.444888,188.79,239.02,149.435,149.158023,188.53,199.55,229.66,188.39,207.53,119.81,59.12
224.82,143.43,209.3,133.62,42.35,42.35,75.62,66.47,42.35,69.96,42.35,42.35
296.05,220.15,143.82,42.35,42.35,42.35,42.35,42.35,56.16,42.35,42.35,64.04
128.57,110.67,151.68,137.89,109.05,93.16,86.43,64.55,57.07,55.02,42.35,42.35
513.89,513.89,513.89,513.89,346.37,482.2,376.55,482.44,513.89,310.07,257.62,105.15
353.35,505.25,513.89,513.89,513.89,460.36,359.71,368.09,310.3,223.39,195.25,88.901504
174.91,68.36,114.49,180.01,135.6,144.31,147.82,150.83,158.84,42.35,42.35,42.35
333.02,68.36,42.35,49.29,50.13,42.35,42.35,42.35,42.35,42.35,42.35,42.35
329.26,359.89,513.89,476.96,314.83,337.18,263.59,184.94,217.7,155.35,90.96,130.12
513.89,272.79,183.821056,190.95,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
267.19,167.2,143.73,173.57,42.35,88.2,109.85,97.24,104.47,63.87,42.99,42.35
305.19,200.79,187.26,169.28,145.17,42.35,42.35,42.35,42.35,42.35,42.35,42.35
257.41,232.76,85.58316,132.95,59.185182,42.35,42.35,52.76,42.35,42.35,42.35,42.35
46.27,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
338.25,147.98,82.86,113.6,105.5,89.77,61.43744,49.224824,64.21,42.35,42.35,42.35
513.89,513.89,513.89,513.89,42.35,42.35,238.25,264.97,299.43,225.31,264.71,300.93
56.31,60.65,87.93,82.98,105.5,55.48,42.35,42.35,42.35,42.35,42.35,42.35
256.99,315.11,187.29,167.6,199.25,212.71,176.89,195.03,175.7,195.49,151.85,210.25
145.38,157.51,198.7,150.65,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
222.39,231.95,307.89,365.54,256.39,482.2,389.51,191.906504,305.701571,297.469022,404.45,288.39
513.89,513.89,513.89,513.89,513.89,276.68,331.04,354.18,354.26,419.82,359.02,363.81
471.27,513.89,513.89,400.17,513.89,513.89,513.89,513.89,513.89,513.89,421.76,279.45
343.94,110.26,181.97,169.62,238.61,256.99,331.33,289.33,158.5,173.99,145.95,170.41
97.280312,118.818694,42.35,42.35,63.67,55.48,58.77,81.47404,88.59843,99.75,42.35,42.35
273.32,140.61,144.38,167.6,145.17,160.04,189.99,199.5,202.41,137.31,109.59,130.55
104.01,135.17,42.35,49.85,67.45,61.59,120.57,96.62,83.24,42.35,42.35,42.35
170.23,244.11,198.38,208.74,298.37,279.55,283.25,251.41,222.59,82.685054,46.44,42.35
459.41,513.89,358.68,168.46,256.99,67.800654,236.38389,277.19,276.76,107.416438,111.87,119.27
181.42,265.66,181.090876,142.135,224.59,184.05,226.82,209.06,224.45,250.38,130.94,148.02
258.39,228.12,236.37,264.66,256.99,212.18,208.19,207.11,210.93,166.1,157.58,86.68
317.99,123.68,142.914734,143.38,152.97,164.92,167.19,149.32,162.88,174.7,161.13,171.94
360.79,332,189.47,196.635,194.428915,184.95,162.08,202.58,182.184639,149,152.04,82.49
150.24,148.96,143.53,145.74,142.86,128.61,119.88,99.74,121.4,126.326742,93.07,92.128182
275.17,235.7,136.812228,70.96,53.4,135.76,139.12,149.32,142.19,131.18,157.914861,140.96
457.74,513.89,513.89,513.89,397.87,513.89,513.89,513.89,490.42,225.31,190.26,194.49
227.49,218.1,141.75,181.38,157.28,175.12,213.37,167.26,175.79,159.85,158.97,174.52
158.31,145.67,58.90282,42.35,42.35,54.61,43.06,42.35,42.35,42.35,42.35,42.35
194.01,198.63,274.87,264.89,254.96,261.91,402.69,368.41,495.05,330.82,357.98,415.69
205.66,266.45,306.71,256.99,235.74,346.206488,356.42,385.01,495.05,207.69,202.54,257.9
167.13,150.39,51.83,89.48,72.78,108.68,142.65,128.08,163.900571,99.99,153.26,143.33
289.49,200.89,146.62,130.025,149.18,209.21,168.13,170.47,173.866857,63.8,42.39,42.35
160.85,216.45,198.74,131.98,121.34,197.71,168.13,164.74,153.03,64.16,44.86,42.35
222.78,134.876384,133.84,167.6,148.54,206.54,168.13,170.47,198.29,175.12,137.49,100.33
240.16,47.23,42.35,42.35,42.35,120.23,120.4,128.08,177.610394,100.34,101.79,78.18
145.42,194.69,66.103322,60.5,42.35,90.61,125.200512,127.615024,153.03,152.18,172.24,148.09
79.66,42.35,42.35,42.35,42.35,44.3,42.35,42.59012,56.22,42.996912,42.35,42.35
199.2647,55.24,42.35,42.35,42.35,42.35,75.91,100.25,102.09,96.035054,110.43,69.44
206.211656,130.461335,42.35,42.35,42.35,90.1,127.23,128.08,113.06,124.61,154.13,208.28
77.93,47.23,42.35,42.35,42.35,42.35,62.11,70.85,56.16,62.55,88.01,77.76
73.76,42.35,42.35,42.35,42.35,42.35,61.21,55.23,42.35,58.4,43.16,42.35
244.43,52.57,42.35,42.35,42.35,42.35,42.35,55.65,50.66,96.076804,112.336378,68.09
263.86,188.78,165.454332,98.44,42.35,88.98,86.43,64.57,64.37,42.35,42.35,42.35
89.8,42.35,63.055262,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
166.188612,150.11,186.77,137.13,148.22,110.810808,161.78,147.62,137.69,138.15,110.84,90.91
223.51,147.43,163.363706,132.67,104.75,125.62,141.02,127.22,140.5201,175.99,198.21,183.135022
122.668182,84,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,44.842068
99.06,103.88,59.49,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
145.38,203.16,57.93,51.52,45.482727,42.35,42.35,42.35,42.35,42.35,42.35,42.35
288.37,248.17,237.4,273.99,326.58,294.9,266.35,222.24,219.4,200.93,167.9,210.62
198.31282,319.828367,513.89,400.64,192.245161,88.98,216.177854,183.053456,213.017388,153.6,144.574702,110.04
148.75,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
100.386786,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
125.36735,70.002639,114.22,80.95,105.5,130.05,120.57,128.08,152.98,129.97,129.184861,112.56
224.29,248.18,288.09,73.565,215.58,155.43,199.09,192.25,152.16,175.12,143.16,112.56
160.86,126.51,114.55,96.82,59.54,103.08,121.73,131.14,111.99,68.33,70.97,96.825094
125.45,91.32,63.09,42.35,42.35,67.61,86.43,88.22,104.26,42.35,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,50.26,42.35
176.88,89.93,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
307,282.93,140.74,127.845,88.98,115.52,117.46,129.89,145.68,79.65,93.07,79.95
349.090196,513.89,513.89,510.955,305.84,120.436364,210.64,151.3,232.96,216.45,281.23,254.01
372.42,277.81,395.34,249.62,181.57,149.779608,121.11,116.33,108.21,68.28,74.24,42.35
322.5,190.92,151.68,83.5,66.985168,47.26,42.35,42.35,42.35,42.35,42.35,48.57
513.89,513.89,513.89,329.94,205.16,275.27,377.63,497.85,513.89,513.89,513.89,292.87
329.26,513.89,513.89,513.89,459.87,242.43,294.34071,330.31,248.85,326.75,201.88,116.33
513.89,264.64,237.72,279.12,279.28,237.07,267.08,243.24,281,322.06,216.45,198.30948
216.45,431.14,513.89,295.64,209.64,261.37,347.25,310.03,327.76,308.16,295.49,418.03
309.07,146.96,157.95,171.18,148.54,212.46,156.64,158.82,143.44,109.61,111.99,75.7
317.8,153.37,109.885658,42.35,50.13,42.35,42.35,42.35,42.35,42.35,42.35,42.35
167.16,232.21,198.39,178.49,181.57,177.07,177.37,195.7,108.74,85.21,42.35,42.35
321.27,513.89,513.89,513.89,513.89,513.89,158.18138,184.69,249.35,192.95,166.751556,180.1
99.06,161.35,121.28,138.53,143.52,42.35,85.535236,85.33,42.35,42.35,42.35,42.35
122.28,125.46,115.63,113.6,148.54,160.04,115.94,107.29,104.26,110.851534,111.38,148.02
148.75,254.51,208.28,228.76,210.38,189.75,107.892576,100.108776,104.47,153.75,115.1,190.89
224.59,298.8,344.75,88.98,87.89,42.35,306.97,338.67,273.15,329.46,261.62,222.45
444.05,513.89,513.89,337.92,256.99,170.41,265.335602,254.74,289.1,313.32,359.15,288.39
