jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
236.73,226.27,266.42,520.37,559.75,559.75,559.75,559.75,559.75,559.75,559.75,559.75
77.85,57.59,148.17,143.99,124.74,72.68,64.9,52.96,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,110.87,71.74,89.15,59.76,39.68,39.68,39.68
148.38,130.08,156.42,179.88,243.59,255.76,300.3,220.13,201.12,298.09,311.94,294.79
39.68,47.93,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
120.96,159.21,165.340649,179.885,235.52,230.08,236.73,220.88,219.29,154.167956,245.16,266.98
70.55,139.27,189.17,175.89,147.79,50.79,159.41,130.09,148.35,231.59,261.3,188.15
76.45,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,56.01551,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
46.02,96.45,119.48,141.965,67.61,103.66,126.48,97.5,112.35,99.33258,105.706632,190.57
121.615515,239.52,230.27,342.445,111.474232,118.963302,141.93,148.07727,150.193029,103.89,152.98,128.37
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
178.8,157.35,151.56,162.27,111.07,138.77,160.5,156.08,147.47,91.99,102.937601,56.12
416.95,559.75,461.04,422.42,39.68,124.5,302.61,220.13,219.43,89.180852,63.68,77.45
559.75,559.75,559.75,342.34,218.77,39.68,443.50161,347.61,369.75,374.27,240.43,256.42
506.98,292.69,231.79,123.38,39.68,139.31,219.44,238.71,227.96,149.81,153.79,203.26
148.38,88.47,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
54.04008,46.28,39.68,74.52,65.29,39.68,39.68,39.68,39.68,39.68,39.68,39.68
247.91,255.265094,252.373661,227.98,202.675336,39.68,183.35,203.87,148.37,65.48,81.29,133.82
112.16835,157.39,178.11,110.97,211.87,138.95,102.92,120.79,71.78,65.48,39.68,39.68
88.98,39.68,76.16,39.68,78.84,39.68,44.91,52.07,62.09,60.96,67.19,39.68
198.13,157.39,197.57,187.86,151.89,173.06,160.5,178.41,147.37,126.18,105.45,43.77
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
66.91,39.68,39.68,39.68,39.68,55.57,86.45,72.34,71.75,60.104892,58.3,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
148.11,130.08,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
158.46,154.56,186.12,39.68,186.6,139.31,199.25,210.81,227.96,199.3,207.34,231.8
67.84,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
228.66,217.62,176.99,91.16,91.9,39.68,39.68,39.68,39.68,39.68,39.68,39.68
125.15,39.68,86.95,39.68,39.68,39.68,58.34,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,53.8,46.73,51.78673,53.92,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
193.68,219.11,190.58,190.26,235.52,236.73,211.28,217.22,210.01,152.23,63.73,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
47.48,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,75.17,39.68,39.68,46.64,59.762024,39.68,39.68,39.68
