jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
230.83,261.72,274.93,223.34,475.87,559.75,559.75,460.78609,479.54,555.27,547.64,287.71
75.3,140.55,154.26,136.72,92.96,86.81,59.53,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,45.66,39.68,39.68,39.68,39.68,39.68
64.06,61.73,82.58,124.48,150.35,163.05,80.46223,103.92,117.840668,97.341564,140.87,166.97
63.42,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
43.07,44.03,39.68,99.99,115.09,129.97,91.45,83.71835,68.44,126.91,170.01,310.75
155.33,183.98,196.834415,264.57,173.82,147.5,132.02,132.8,188.35,203.99,211.61,191.38
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,54.56,39.68,39.68,39.68,39.68,39.68,72.18
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
151.47,157.07,225.106507,97.86,122.82,172.73,108.83,140.57,122.75,129.26,188.584861,206.77
268.9,279.47,559.75,183.84,53.4,131.24,235.57,244.01,173.79,183.37,187.44,168.36
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
155.34,153.76,188.16,127.5,108.81,131.71,145.02,137.52,106.5,155.96,125.98,39.68
559.75,559.75,559.75,205.25,39.68,69.54,167.91,160.25,84.06,41.97,61.53,39.68
559.75,236.734926,212.56,155.98,53.4,131.24,232.06,235.88,165.81,145.37,187.44,140.356242
178.84,153.99,102.1,86.77,88.75,107.56,111.91,83.94,81.284559,85.79,82.39,74.39
109.21,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
158.13,81.43,54.28,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
150.51,147.68,138.0897,145.68,39.68,39.68,153.4,128.04362,65.98,88.63,125.98,146.37
174.591685,153.99,154.79,192.83,115.43,111.4258,115.87,70.14,77.43,45.7,48.02,39.68
76.08,143.59,147.69,103.43,88.75,77.275458,108.40158,120.23,131.93,129.32,77.78,39.68
