jan-20,fev-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,set-20,out-20,nov-20,dez-20
175.94,119.07,174.54,143.95,42.35,216.1,256.31,216.62,256.25,253.94,213.554964,406.24
103.786812,42.35,42.35,42.35,42.35,50.25,59.95,93.43,86.907585,67.152744,42.35,42.35
42.35,42.35,42.35,42.35,42.35,42.35,53.69,42.35,43.46,45.27,55.84,42.35
86.62,42.35,42.35,42.35,42.35,42.35,94.6,93.5,92.74,127.18,156.144861,160.25
42.35,42.35,42.35,42.35,42.35,72,81.51,66.29,45.95,56.863068,46.08,42.35
155.46,120.32,149.07,76.865,42.35,42.35,42.35,44.78,44.02,74.31,81.544162,93.16
198.5,252.79,218.89,216.24,297.01,242,280.23,307.49,279.99,355.37,218.12,160.41
100.985076,42.35,42.35,42.35,42.35,72.01,48.73,48.23,42.35,42.35,42.35,42.35
256.31,191.65,114.48,42.935,42.35,42.35,42.35,42.35,43.78,43.037344,42.35,42.35
93.05,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
266.57,220.292212,179.08,116.095,119.24,146.05,147.31,140.438696,157.592849,108.315054,94.94,142.2
247.89,42.35,42.35,42.35,42.35,42.35,73.96,69.18,97.687839,42.35,42.35,42.35
136.8229,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
166.06,155.12,147.89,143.94,171.07,211.18,174.42,185.759536,197.645167,122.29,94.01,128.24
178.78,213.04,161.61,221.09,225.56,245.42,353.25,318.4,318.8,253.326358,144.34,173.23
233.059928,296.58,372.35,513.89,513.89,513.89,513.89,255.65,513.89,513.89,513.89,513.89
296.29,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89
305.77,270.9,274.19,199.03,227.74,227.15453,192.65,145.35,146.22,104.65,82.04,68.01
200.49,259.25,255.62,234.35,258.75,250.81,310.62,322.87,324.52,453.1551,235.23,192.99
164.5,248.03,212.154072,159.03,246.751252,220.654842,225.54,217.662808,186.24,203.245768,147.86,105.13
465.88,290.17,248.29,196.705,180.92,175.09,215.87,236.869475,240.73,317.78,144.450413,110.75
