jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
39.68,94.13,90.05,96.14,116.81,145,151.99,179.08,186.23,207.540852,252.09,141.68
39.68,39.68,39.68,39.68,39.68,39.68,55.59,69.37,71.91,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,44.03,52.57,57.61,84.77,136.36,122.8,56.65
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
42.52,53.55,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
64.89,75.444926,74.62,79.83,39.68,111.48,117.7,87.27551,83.32,49.9,41.56,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
103.51,50.8,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
121.06,80.89,73.53421,40.9,53.4,39.68,73.93,70.89,45.53,45.3,72.79,48.76
39.68,39.68,39.68,39.68,39.68,39.68,39.68,44.76,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
62.98,72.54,71.22,64.95,101.12,80.15,71.65,79.06,70.76,47.22,76.97,59.61
122.01,39.68,87.73,97.43,39.68,90.88,134.86,139.48,146.73,99.73,81.04,42.86
260.53,559.75,559.75,559.75,559.75,559.75,559.75,559.75,559.75,559.75,559.75,360.41
173.4,331.4,559.75,100.16,472.62,559.75,559.75,267.18551,559.75,559.75,559.75,236.73
229.77,162.47,86.04,96.14,102.34728,92.21,39.68,39.68,39.68,39.68,39.68,39.68
103.81,102.95,85.82,48.47,39.68,39.68,39.68,47.3,47.98,39.68,39.68,39.68
160.54,129.93,58.51,106.46,104.505376,92.44561,89.37,84.83,94.97,74.19,57.1,48.76
189.14,124.41,75.52,39.68,39.68,50.83,62.72,76.86,90.57,39.68,39.68,39.68
39.68,39.68,61.84,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,75.18,51.37,63.49,126.2,107.65,71.17,73.64,46.444861,68.95
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,46.14,57.17,39.68,43.34,52.14,54.52
39.68,55.39,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,51.73,48.71,39.68,42.925496,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,53.66,39.68,39.68,65.54,67.96,39.68,54.5,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
73.82,39.68,39.68,39.68,39.68,101.68,86.76,79.01,78.09,39.68,39.68,39.68
88.98,82.49,134.14,131.06,151.665984,116.42,155.11,158.72,159.47,141.89,235.56,91.75
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
80.9,39.68,57.17,39.68,39.68,39.68,56.61,41.08,43.18,56.26,47.78,42.86
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,54.09,100.14,104.63,133.18,154.14,157.3,248.63,208.877396,132.32,120.46
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
89.85,170.26,158.5,85.735,39.68,41.93,84.48,89.88,172.3,208.817536,88.75,48.786883
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,54.14
41.1,39.68,39.68,39.68,39.68,49.87,39.68,44.75,55.19,86.05,72.79,78.002391
39.68,39.68,39.68,39.68,39.68,39.68,51.46,57.18,55.56,55.02,67.49,93.54
40.48,63.69,65.895269,97.43,83.69,50.83,55.59,69.63,57.12,41.86,41.56,78.46
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
88.98,53.04,65.22,88.13,86.39,77.77,94.2,143.75,269,343.14,447.4,329.86
81.13,60.424926,80.24,76.755,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
113.64,168.87,243.67,187.54,122.79,105.89,127.23,104.49,124.53,109.83,153.65,104.17
39.72,49.3,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
44.86,49.5,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
221.83,246.06,52.88,64.93,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
137.14,172.26,135.090956,138.08,122.79,145.02,72.6,61.33,39.68,39.68,39.68,49.81
66.67,74.2,54.07,64.54,64.34,64.08,82.76,118.66,91.85,102.3,206.92,329.86
189.2,135.98,138.32,97.43,113.7,88.96,64.91,43.95,54.51,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,40.46,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
