jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
134.88,167.37,138.69,68.68,162.32,296.06,194.07,385,201.49,208.86,200.5,254.98
39.68,39.68,39.68,134.64,137.69,124.05,107.98,87.91469,70.07,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,88.98,107.98,64.55,70.02,48.87,39.68,39.68
49.93,53.4,48.81,85.62,111.28,145.361908,176.88,170.44,139.580177,164.24,177.76,154.38
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,78.1,90.51,88.05918,64.28,47.13,39.68,90.6
61.04,39.68,48.81,39.68,117.19,121.84,103.95,86.33,63.79,83.169912,122.76,153.68
39.68,39.68,39.68,39.68,39.68,39.68,45.21,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,67.61,87.81,70.02,89.92,75.56,66.43
53.03,93.75,165.65,150.57,170.71,171.93,125.99,162.59,182.562538,98.624892,53.6,73.97
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
95.35,147.22,107.38,129.615,144.72,103.58,89.98,104.03239,126.595167,104.304892,58.45,66.9
233.76,469.64,524.7,400.27,559.75,526.51,257.80311,248.78,259.36,296.25,130.64,60.05
559.75,559.75,559.75,155.5,191.083432,54.924194,313.90069,559.75,529.08,559.75,559.75,211.28
223.51,272.38,237.24,157.78,137.69,161,176.02,173.05,178.41,165.16,145.09,141.43
145.76,143.68,112.15,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
145.76,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
132.71199,166.25,221.63,218.68,88.98,161.06,166.28,148.03989,158.57,118.6,67.61,90
62.12,39.68,91.2,128.72,137.69,156.97,106.4,88.81,95.092241,39.68,39.68,39.68
226.96,76,39.68,39.68,63.46,39.68,39.68,39.68,39.68,39.68,39.68,39.68
151.11682,143.11,128.13,145.91,147.84,106.49,182.33,142.32411,168.891927,113.524892,109.38,70.88
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,47.84,61.04,51.86,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,63.23,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
143.22,99.9,119.58,129.23,121.6,150.89,111.09,149.38,125.98,131.601792,128.63,121.6
39.68,39.68,39.68,39.68,39.68,49.72,41.57,39.68,39.68,39.68,39.68,39.68
79.31,166.23,151.26,129.23,46.48,75.11,39.68,39.68,39.68,39.68,39.68,39.68
177.78,120.93,68.66,89.72,39.68,39.68,66.27,83.43,65.72,53.12,39.68,39.68
39.68,39.68,39.68,39.68,39.68,76.03,63.1,57.82,54.41,51.174892,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
110.92,108.95,120.93,136.38,101.8,105.28,113.30428,88.81,96.908744,98.144892,53.6,39.68
39.68,39.68,39.68,39.68,39.68,44.33,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,72.91,39.68,39.68,39.68,39.68,39.68,39.68
137.88,166.15,180.7,214.39,238.73,325.41,219.31,204.99,221.28,118.98,164.12,134.995269
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
40.13552,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
