jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
97.09,57.75,85.93,83.64,124.93,111.19,127.9,160.23,170.11,245.21,197.77,131.04
39.68,39.68,39.68,39.68,39.68,70.11,65.49,73.01,47.57,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,47.78,58.95,70.22,110.18,132.39,65.71,69.39
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
67.8,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
88.34,70.76,70.97,39.68,39.68,54.74,49.24,60.62,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
43.56,50.5,39.68,39.68,39.68,39.68,87.41,58.41,53.4,63.38,89.93,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
54.73,60.38,77.525269,83.1,77.21,88.86,93.13,77.6,66.74,105.254892,107.06,83.42
39.68,92.42,90,128.87,39.68,200.91,141.04,132.38,96.15,105.35,86.17,81.09
315.39,372.09,559.75,559.75,559.75,342.81,559.75,559.75,559.75,559.75,559.75,189.33
144.43,281.72,212.03,223.9,211.76,250.26,161.84,362.44,452.25,559.75,559.75,112.57
84.3,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
199.22,108.29,118.41,39.68,39.68,39.68,68.79,97.66,39.68,39.68,39.68,39.68
54.71,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
58.21,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,67.59,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,60.83,52.66,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,62.85,39.68,39.68,39.68,104.35,85.66,119.82,103.93,78.85,80.32,76.26
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
74.56,98.13,85.58,131.88,130.23,113.87,70.78,61.65,39.68,39.68,39.68,39.68
39.68,79.71,100.1,66.535,40.54,53.74,39.68,39.68,39.68,43.89,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,69.79,118.65,112.18,161.84,184.18,210.09,215.81,249.79,222.62,191.76,52.4
39.68,61.02,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
95.93,84.56,52.78,39.68,39.68,54.74,70.77,72.98,77.3,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,47.62,63.63,59.36
39.68,39.68,39.68,39.68,39.68,39.68,49.23,58.72,98.42,75.736748,93.67,103.25
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,43.84,52.22,60.61,90.78
88.98,50.5,105.59,75.83,46.56,60.8,62.83,67.67,68.18,69.22,122.37,113.66
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,48.28,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,46.08,40.21,66.83,51.300246,66.03
92.13,98.65,113.02,44.82,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
46.62,60.78,80.83,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
52.23,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
82.49,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
155.47,106.68,117.79,132.89,130.22,88.6,49.04,39.68,39.68,39.68,50.27,39.68
59.82,39.68,39.68,39.68,39.68,45.84,56.67,51.07653,44.89,107.96,163.47,72.11
88.98,78.79,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,49.53,41.04,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
65.93,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,41.47,39.68,39.68,39.68,57.45,67.59,57.48,62.65,111.81,107.25,39.68
39.68,39.68,39.68,39.68,39.68,57.05,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
65.94,39.68,39.68,39.68,39.68,47.66,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,47.78,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,42.41,78.82,56.68,60.12,95.95,55.65,49.75,51.75,43.04,65.79
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,54.18,39.68,39.68,51.49,66.86,88.43
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,42.21,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
47.44,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
59.19,57.9,109.49,56.335,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
71.79,90.7,102.27,104.81,110.23,105.52,121.02,109.5,116.71,193.89,119.26,113.33
