jan-20,fev-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,set-20,out-20,nov-20,dez-20
288.93,188.38,225.89,204.15,228.25,211.07,263.49,287.64,364.1,367.83,439.07,407.31
141.63,177.01,218.32,237.84,177.45,78.81,112.180384,116.68,107.8,107.21,129.394861,224.75
86.8,58.75,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
201.2,245.36,203.39,179.94,42.35,120.42,152.76,144.23,198.61,193.98,225.08,224.77
240.64,218.09,205.23,78.08,42.35,42.35,51.546776,47.21,60.62,57.05,57.22,42.35
260.43,165.78,184.77,202.105,222.3,178.06,215.96,191.31,140.41,104.38,127.62,134.85
152.76,91.7,159.53,194.14,201.93,206.42,205.96,194.27,218.7,174.31,215.52,240.27
281.58,213.75,256.94,163.01,124.77,72.46,131.93764,92.94,80.97,104.39,74.49,42.35
223.05,157.49,205.27,168.74,42.35,161.14,170.6,145.72,150.07,99.92,83.2,103.83
269.71,197.57,280.84,194.71,178.33,138.45,143.57,92.94,113.07,78.61,61.43,42.35
277.18,378.15,513.89,513.89,513.89,307.775458,196.65,182.4,222.65,248.61,209.44,243.55
371.55,340.94,513.89,512.325,513.89,299.42,361.15,287.89,168.74,207.25,312.22,395.85
110.64,136.03,157.63,126.32,124.41,59.33,42.35,43.19,60.9,42.35,42.35,42.35
159.03,109.48,111.16,98.53,145.13,128.69,147.58,118.08,131.02,180.07,185.84,164.01
384.2,307.26,287.89,216.43,256.49,268.64,218.14,262.23,274.47,437.150304,513.89,365.94
248,513.89,201.73,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89,513.89
87.63,209.22,276.72,168.74,88.97,277.84,346.37,513.89,513.89,513.89,513.89,365.79
345.97,325.85,267.6,395.61,358.78,341.26,390.67,513.89,513.89,373.65,301.05,151.48
221.96,227.12,218.08,291.01,286.72,329.26,392.57,503.9,325.4,299.16,332.42,194.49
281.9,314.54,190.05,136.505,183.21,244.16,217.10273,225.62,257.845464,190.07,223.69,243.55
272.22,302.16,388.75,179.04,256.94,440.52,415.92,267.35,264.75,441.23,513.89,316.46
513.89,273.27,202.88,70.15,140.68,168.74,302.82,259.04,314.35,156.31,155.93,125.07
151.1,134.16,185.05,93.97,48.434819,82.32,99.49,115.4,131.884368,104.676782,127.69,174.719856
277.18,108.75,129.69,129.23,76.65,61.56,83.72,42.35,42.35,42.35,42.35,42.35
54.95,42.35,42.35,42.35,42.35,42.35,65.57,79.31,88.97,99.091492,80.14,96.78
83.03,42.35,42.35,42.35,42.35,42.35,85.21,78.32,90.94,57.05,60.36,44.53
179.56,159.78,201.189006,214.48,42.35,42.35,181.32,189.15,186.75,201.53,190.94,77.058666
257.21,301.13,449.64,513.89,175.42,281.2,513.89,513.89,513.89,513.89,513.89,365.79
42.35,82.04,86.440536,80.35,42.35,42.35,42.35,42.35,54.68,42.35,42.35,42.35
144.18,176.72,203.23,126.46,181.797886,219.95,268.41,270.48,352.37,444.14,346.4,241.81
118.37,182.54,123.87,108.88,88.97,133.6,101.45,138.93,169.64,103.38,72.53,89.08
87.54,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35,42.35
168.215094,174.89,163.3,91.07,79.49218,68.86,42.35,55.02,61.27,42.35,42.35,42.35
