jan-21,fev-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,set-21,out-21,nov-21,dez-21
39.68,39.68,39.68,39.68,39.68,39.68,41.7,46.01,57.89,52.68,83.06,72.15
59.56,79.39,84.12,45.1,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
88.65,51.6,49.13,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
88.08,64.46,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
81.51,58.6,62.33,40.085,39.68,39.98,39.68,39.68,39.68,39.68,39.68,39.68
39.68,39.68,43.8,47.91,51.29,54.25,56.08856,88.07,43.22,100.25,125.8,70.36
65.21,68.31,42.32,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
39.68,43.56,49.97,55.2,43.72,39.68,39.68,39.68,39.68,39.68,39.68,39.68
87.99,144.9,79.98,75,41.4,46.74,39.68,39.68,39.68,39.68,39.68,39.68
134.74,196.23,124.49,127.76,69.29792,39.68,50.58,39.68,82.66,45.24,39.92,42.78
130.36,127.05,112.11,149.64,92.9,106.39,80.83,46.27,75.21,117.42,124.33,178.3
39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68,39.68
40.84,40.02,49.13,49.63,54.16,61.15,56.21,46.96,75.600885,45.24,39.68,39.68
189.74,54.27,39.68,39.68,39.68,39.68,39.68,39.68,54.11,57.55,55.27,72.12
207.97,71.21,183.24,237.12,411.51,461.97,559.75,559.75,559.75,559.75,559.75,149.72
108.89,109.28,100.47,109.22,39.68,223.51,559.75,215.23,559.75,250.09,270.48,95
70.99,95.56,124.36,194.12,163.91,191.9,155.03,178.07,152.97,89.42,39.68,39.68
50.6,39.93,80.04,50.18,72.73,97.57,99.66,113.04,76.326877,73.55,42.67,66.19
61.02,39.68,39.68,39.68,53.2,55.69,43.75,63.6508,71.31,99.25,84.02,39.68
144.5,137.05,111.8,56.61,73.96,98,90.93,83.44,84.45,121.47,114.47,236.73
